frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:icmp:ip:ax25,3,1,326,63
eth:ethertype:ip:icmp:ip:ah:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts:ipv6.hopopts,1,1,162,162
eth:ethertype:ip:icmp:ip:ah,3,1,323,77
eth:ethertype:ip:icmp:ip,214,76,19250,7602
eth:ethertype:ip:icmp:hipercontracer,41,18,4018,1764
eth:ethertype:ip:icmp:data,16299429,8389589,1139289075,593051641
eth:ethertype:ip:icmp,1294107,630526,77646950,37832090
eth:ethertype:ip:gre:ip:udp:xyplex,7,2,4046,1156
eth:ethertype:ip:gre:ip:udp:wtp,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:wtls,9,5,5202,2890
eth:ethertype:ip:gre:ip:udp:wsp,8,3,4624,1734
eth:ethertype:ip:gre:ip:udp:wlccp,5,4,2890,2312
eth:ethertype:ip:gre:ip:udp:wisun.eapol_relay:eapol:data,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:who,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:vxlan:eth:ethertype:data,7,5,4046,2890
eth:ethertype:ip:gre:ip:udp:vuze-dht,1,0,578,0
eth:ethertype:ip:gre:ip:udp:vrt,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:ulp,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:udpencap:esp,6,2,3468,1156
eth:ethertype:ip:gre:ip:udp:uaudp,10,5,5780,2890
eth:ethertype:ip:gre:ip:udp:tzsp,7,6,4046,3468
eth:ethertype:ip:gre:ip:udp:tsp,7,3,4046,1734
eth:ethertype:ip:gre:ip:udp:ts2,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:tplink-smarthome:json:data-text-lines,5,3,2890,1734
eth:ethertype:ip:gre:ip:udp:tipc,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:time,7,5,4046,2890
eth:ethertype:ip:gre:ip:udp:thrift,10,6,5780,3468
eth:ethertype:ip:gre:ip:udp:tetra,7,3,4046,1734
eth:ethertype:ip:gre:ip:udp:teredo:data,6,2,3468,1156
eth:ethertype:ip:gre:ip:udp:tacacs,6,4,3468,2312
eth:ethertype:ip:gre:ip:udp:syslog,7,4,4046,2312
eth:ethertype:ip:gre:ip:udp:ssdp:data,1,1,578,578
eth:ethertype:ip:gre:ip:udp:srvloc,7,4,4046,2312
eth:ethertype:ip:gre:ip:udp:sigcomp,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:sctp,5,3,2890,1734
eth:ethertype:ip:gre:ip:udp:scop:data,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:sap,5,4,2890,2312
eth:ethertype:ip:gre:ip:udp:sabp,5,4,2890,2312
eth:ethertype:ip:gre:ip:udp:rx,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:rtpproxy,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:rtcp,731,356,423030,206280
eth:ethertype:ip:gre:ip:udp:rsvp,2,0,1156,0
eth:ethertype:ip:gre:ip:udp:rsp,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:rsip,5,2,2890,1156
eth:ethertype:ip:gre:ip:udp:rpc,3,2,1734,1156
eth:ethertype:ip:gre:ip:udp:rmcp,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:ripng,5,2,2890,1156
eth:ethertype:ip:gre:ip:udp:rip,8,2,4624,1156
eth:ethertype:ip:gre:ip:udp:rdpudp:tls,1,1,578,578
eth:ethertype:ip:gre:ip:udp:rdpudp,1,0,578,0
eth:ethertype:ip:gre:ip:udp:raknet:raknet,1,0,578,0
eth:ethertype:ip:gre:ip:udp:raknet,4,0,2312,0
eth:ethertype:ip:gre:ip:udp:radius,1,1,578,578
eth:ethertype:ip:gre:ip:udp:quakeworld:data,5,2,2890,1156
eth:ethertype:ip:gre:ip:udp:quake:data,6,3,3980,2246
eth:ethertype:ip:gre:ip:udp:quake3:data,44,21,25944,12138
eth:ethertype:ip:gre:ip:udp:quake2:data,5,3,2890,1734
eth:ethertype:ip:gre:ip:udp:quake2,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:ptp,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:pn_rt:pn_io,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:pktc.mtafqdn,3,2,1734,1156
eth:ethertype:ip:gre:ip:udp:pktc,7,5,4046,2890
eth:ethertype:ip:gre:ip:udp:pfcp,1,0,578,0
eth:ethertype:ip:gre:ip:udp:pathport,1,1,578,578
eth:ethertype:ip:gre:ip:udp:packetbb,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:openvpn:tls,1,0,578,0
eth:ethertype:ip:gre:ip:udp:openvpn,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:opensafety_udp:data,6,4,3468,2312
eth:ethertype:ip:gre:ip:udp:opensafety:data,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:nxp_802154_sniffer:wpan:data,1,0,578,0
eth:ethertype:ip:gre:ip:udp:nxp_802154_sniffer:wpan,2,0,1156,0
eth:ethertype:ip:gre:ip:udp:nxp_802154_sniffer,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:ntp,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:ncp,6,2,3468,1156
eth:ethertype:ip:gre:ip:udp:nbns,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:nbdgm,9,1,5714,578
eth:ethertype:ip:gre:ip:udp:nano,9,5,5202,2890
eth:ethertype:ip:gre:ip:udp:msmms,6,4,3468,2312
eth:ethertype:ip:gre:ip:udp:mpls:data,7,4,4046,2312
eth:ethertype:ip:gre:ip:udp:mipv6,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:mip,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:mint,9,4,5714,2312
eth:ethertype:ip:gre:ip:udp:mikey,5,2,2890,1156
eth:ethertype:ip:gre:ip:udp:mih,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:memcache,6,4,3468,2312
eth:ethertype:ip:gre:ip:udp:megaco:data,5,1,2890,578
eth:ethertype:ip:gre:ip:udp:mdns,2,0,1668,0
eth:ethertype:ip:gre:ip:udp:manolito,3,2,1734,1156
eth:ethertype:ip:gre:ip:udp:lwres,7,3,4046,1734
eth:ethertype:ip:gre:ip:udp:lwapp:wlan:data,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:lwapp:wlan,1,1,578,578
eth:ethertype:ip:gre:ip:udp:lwapp:data,7,5,4046,2890
eth:ethertype:ip:gre:ip:udp:lmp,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:llmnr,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:llc:sna:data,1,1,578,578
eth:ethertype:ip:gre:ip:udp:llc:data,25,9,14450,5202
eth:ethertype:ip:gre:ip:udp:lisp-data:ip:data,1,1,578,578
eth:ethertype:ip:gre:ip:udp:lisp-data:ip,1,1,578,578
eth:ethertype:ip:gre:ip:udp:lisp-data,6,1,3468,578
eth:ethertype:ip:gre:ip:udp:lisp:data,3,0,1734,0
eth:ethertype:ip:gre:ip:udp:kpasswd,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:knet,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:kip,12,8,6936,4624
eth:ethertype:ip:gre:ip:udp:kink,3,3,1734,1734
eth:ethertype:ip:gre:ip:udp:kdp,4,0,2312,0
eth:ethertype:ip:gre:ip:udp:jmirror:ipv6:data,1,0,578,0
eth:ethertype:ip:gre:ip:udp:isakmp,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:ipx:data,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:ipvs,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:infiniband:data,1,0,578,0
eth:ethertype:ip:gre:ip:udp:infiniband,5,4,2890,2312
eth:ethertype:ip:gre:ip:udp:ieee1722:data,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:idn,2,0,1156,0
eth:ethertype:ip:gre:ip:udp:icp,5,2,2890,1156
eth:ethertype:ip:gre:ip:udp:iax2,1,1,578,578
eth:ethertype:ip:gre:ip:udp:iapp,5,5,2890,2890
eth:ethertype:ip:gre:ip:udp:hiqnet,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:hcrt,7,3,4046,1734
eth:ethertype:ip:gre:ip:udp:h501,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:h248,2,2,1156,1156
eth:ethertype:ip:gre:ip:udp:h225,7,4,4046,2312
eth:ethertype:ip:gre:ip:udp:gtpprime,1,0,578,0
eth:ethertype:ip:gre:ip:udp:gsmtap:data,6,5,3468,2890
eth:ethertype:ip:gre:ip:udp:gre:data,1,0,578,0
eth:ethertype:ip:gre:ip:udp:gre,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:gprs-ns,13,6,8026,3980
eth:ethertype:ip:gre:ip:udp:goose:cotp:goose,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:goose:cotp,32,15,18496,8670
eth:ethertype:ip:gre:ip:udp:geneve:data,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:find,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:enrp,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:enip,5,1,2890,578
eth:ethertype:ip:gre:ip:udp:elasticsearch,1,1,578,578
eth:ethertype:ip:gre:ip:udp:egd:data,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:ecmp,1,0,578,0
eth:ethertype:ip:gre:ip:udp:echo,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:ecatf:tc_nv,1,1,578,578
eth:ethertype:ip:gre:ip:udp:ecatf:data,6,1,3468,578
eth:ethertype:ip:gre:ip:udp:dvb_ipdc:data,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:dvb_ipdc:alc:rmt-lct,1,0,578,0
eth:ethertype:ip:gre:ip:udp:dtls,10,3,5780,1734
eth:ethertype:ip:gre:ip:udp:dpnet,4,0,2312,0
eth:ethertype:ip:gre:ip:udp:doip,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:dof,9,5,5202,2890
eth:ethertype:ip:gre:ip:udp:dns,1,0,578,0
eth:ethertype:ip:gre:ip:udp:dmp,2,0,1156,0
eth:ethertype:ip:gre:ip:udp:dlsw,1,0,578,0
eth:ethertype:ip:gre:ip:udp:dlep,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:dis,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:dhcpv6,11,4,6358,2312
eth:ethertype:ip:gre:ip:udp:dhcp,10,5,5780,2890
eth:ethertype:ip:gre:ip:udp:dcp-etsi:dcp-af,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:dcc,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:db-lsp-disc,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:daytime,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:data,150822,75272,87588372,43714560
eth:ethertype:ip:gre:ip:udp:cups,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:corosync_totemnet:data,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:collectd,4,3,2312,1734
eth:ethertype:ip:gre:ip:udp:coap,4,2,2312,1156
eth:ethertype:ip:gre:ip:udp:cnip:data,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:cnip,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:cldap,10,4,6292,2312
eth:ethertype:ip:gre:ip:udp:cipio,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:chargen,6,3,3468,1734
eth:ethertype:ip:gre:ip:udp:capwap.data:wlan,1,1,578,578
eth:ethertype:ip:gre:ip:udp:capwap:data,1,1,578,578
eth:ethertype:ip:gre:ip:udp:capwap,5,3,2890,1734
eth:ethertype:ip:gre:ip:udp:c1222,11,4,6358,2312
eth:ethertype:ip:gre:ip:udp:bjnp,7,5,4046,2890
eth:ethertype:ip:gre:ip:udp:bfd_echo,3,2,1734,1156
eth:ethertype:ip:gre:ip:udp:bfd,18,10,10404,5780
eth:ethertype:ip:gre:ip:udp:bat.vis:data,8,1,4624,578
eth:ethertype:ip:gre:ip:udp:bat.gw:data,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:bat:data,4,1,2312,578
eth:ethertype:ip:gre:ip:udp:ayiya,6,2,3468,1156
eth:ethertype:ip:gre:ip:udp:ax4000,1,1,578,578
eth:ethertype:ip:gre:ip:udp:auto_rp,5,2,3402,1156
eth:ethertype:ip:gre:ip:udp:ath,7,1,4046,578
eth:ethertype:ip:gre:ip:udp:asterix,1,0,578,0
eth:ethertype:ip:gre:ip:udp:asap,4,4,2312,2312
eth:ethertype:ip:gre:ip:udp:amt,2,1,1156,578
eth:ethertype:ip:gre:ip:udp:ajns,3,1,1734,578
eth:ethertype:ip:gre:ip:udp:adp,8,6,4624,3468
eth:ethertype:ip:gre:ip:udp:acdr:xml,1,1,578,578
eth:ethertype:ip:gre:ip:udp:acdr,7,4,4046,2312
eth:ethertype:ip:gre:ip:udp:a21,2,0,1156,0
eth:ethertype:ip:gre:ip:udp,16950,8593,1127916,571746
eth:ethertype:ip:gre:ip:tcp:data,1,0,104,0
eth:ethertype:ip:gre:ip:tcp,408,204,42384,21192
eth:ethertype:ip:gre:ip:icmp:data,8192,4094,835584,417588
eth:ethertype:ip:gre:eth:ethertype:ip:udp:xyplex,6,3,5088,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:wtp,2,1,1696,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:wtls,24,14,21888,12896
eth:ethertype:ip:gre:eth:ethertype:ip:udp:wsp,12,7,12224,7216
eth:ethertype:ip:gre:eth:ethertype:ip:udp:wlccp,5,1,4496,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:wisun.eapol_relay:eapol:data,9,2,9936,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:who,6,5,5600,5008
eth:ethertype:ip:gre:eth:ethertype:ip:udp:vxlan:eth:ethertype:data,4,3,4416,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:vuze-dht,4,4,3392,3392
eth:ethertype:ip:gre:eth:ethertype:ip:udp:vrt,7,5,6192,4496
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ulp,4,2,4416,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:udpencap:esp,2,2,2208,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:uaudp,9,7,9424,7216
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tzsp,5,4,3984,3392
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tsp,5,4,5520,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ts2,3,1,2288,592
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tplink-smarthome:json:data-text-lines,9,7,8400,6192
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tpcp,2,2,2208,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tipc:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tipc,5,2,5008,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:time,2,2,1696,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:thrift,8,2,8832,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tetra,5,2,5008,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:teredo:data,6,5,6624,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:tacacs,6,1,5600,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:syslog,3,1,3312,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:srvloc,9,3,8912,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:sctp,5,2,5008,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:scop:data,15,8,14512,7296
eth:ethertype:ip:gre:eth:ethertype:ip:udp:scop,2,2,2208,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:sap:sdp,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:sap,8,4,7808,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:sabp,6,2,6624,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rx:afs,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rx,6,4,6112,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rtpproxy,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rtcp,1029,555,1012112,546672
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rsvp,9,4,9424,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rsp,4,2,4416,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rsip,9,5,9424,5008
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rpc,7,3,6192,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rmcp,3,0,3312,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ripng,7,5,7728,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rip,7,5,7216,5008
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rdt,10,5,11040,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rdpudp:tls,3,2,2800,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rdpudp:dtls,2,0,2208,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:rdpudp,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:raknet,6,3,5600,2288
eth:ethertype:ip:gre:eth:ethertype:ip:udp:radius,1,1,592,592
eth:ethertype:ip:gre:eth:ethertype:ip:udp:quakeworld:data,10,4,8992,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:quake:data,8,6,7808,5600
eth:ethertype:ip:gre:eth:ethertype:ip:udp:quake3:data,57,30,58320,32096
eth:ethertype:ip:gre:eth:ethertype:ip:udp:quake2:data,1,1,592,592
eth:ethertype:ip:gre:eth:ethertype:ip:udp:quake2,1,1,592,592
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ptp,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:portcontrol,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:pn_rt:pn_io,5,2,4496,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:pktc.mtafqdn,3,3,3312,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:pktc,10,3,7968,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:pfcp,10,5,10016,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:pathport,5,2,5008,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:packetbb,7,3,6704,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:openvpn,8,3,8832,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:opensafety_udp:data,3,3,2800,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:opensafety:data,3,1,2800,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:nxp_802154_sniffer:wpan:data,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:nxp_802154_sniffer:wpan,4,2,4416,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ntp,5,3,5008,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ncp,3,2,3312,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:nbns,7,4,7728,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:nbdgm,5,3,5520,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:nano,5,1,5008,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:msproxy,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:msmms,8,4,8320,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mpls:pwach:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mpls:ipv6:data,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mpls:ip,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mpls:data,7,4,7728,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mipv6,6,2,6112,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mip,5,2,5520,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mint,17,8,16208,7808
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mikey,5,5,5520,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mih,7,2,6704,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:memcache,3,2,3312,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:megaco:data,12,8,12736,8832
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mdns,5,3,5520,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:manolito,7,2,6704,1184
eth:ethertype:ip:gre:eth:ethertype:ip:udp:mactelnet:data,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lwres,7,4,6192,2880
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lwapp:wlan:data,5,2,5008,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lwapp:wlan,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lwapp:data,11,5,11632,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ltp,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lmp,4,2,4416,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:llmnr,11,6,10608,5088
eth:ethertype:ip:gre:eth:ethertype:ip:udp:llc:ipx:data,1,1,1104,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:llc:data,48,25,46848,24016
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lisp-data:ipv6:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lisp:data,8,3,7808,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lisp-data,6,3,6112,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:lisp,2,0,1696,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:l2tp,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:kpasswd,7,4,6192,3392
eth:ethertype:ip:gre:eth:ethertype:ip:udp:knet,7,3,5168,1776
eth:ethertype:ip:gre:eth:ethertype:ip:udp:kip,18,8,16800,7296
eth:ethertype:ip:gre:eth:ethertype:ip:udp:kink,4,3,4416,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:kerberos,3,1,3312,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:kdp,4,4,4416,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:isakmp,4,4,3904,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ipx:data,8,3,7296,2288
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ipvs,8,2,8832,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:infiniband,3,1,2800,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ieee1722:data,5,4,4496,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ieee1722:aaf,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:idn,7,5,7728,5520
eth:ethertype:ip:gre:eth:ethertype:ip:udp:icp,6,1,5600,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:iax2,6,2,6112,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:iapp,6,4,5600,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:hiqnet,7,3,6704,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:hcrt,8,6,7296,5600
eth:ethertype:ip:gre:eth:ethertype:ip:udp:h501,8,3,8832,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:h248,6,1,5600,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:h225:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:h225,15,9,14512,8912
eth:ethertype:ip:gre:eth:ethertype:ip:udp:gtp:gtpv2,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:gsmtap:data,4,2,3392,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:gre:data,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:gre,3,1,3312,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:gprs-ns,12,6,12224,5600
eth:ethertype:ip:gre:eth:ethertype:ip:udp:goose:cotp:goose,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:goose:cotp,52,23,49728,21296
eth:ethertype:ip:gre:eth:ethertype:ip:udp:geneve:data,4,2,4416,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:find,9,5,8400,5008
eth:ethertype:ip:gre:eth:ethertype:ip:udp:eth:ethertype:data,4,2,3904,1696
eth:ethertype:ip:gre:eth:ethertype:ip:udp:epl:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:enrp,6,4,6112,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:enip,6,5,5600,4496
eth:ethertype:ip:gre:eth:ethertype:ip:udp:elasticsearch,2,0,1696,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:egd:data,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ecmp,7,4,6192,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:echo,6,3,5600,2800
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ecatf:ioraw,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:ecatf:data,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dvb_ipdc:data,9,4,8400,3904
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dvb_ipdc:alc:rmt-lct,1,0,592,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dtls,25,13,22992,10768
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dpnet,6,4,6112,4416
eth:ethertype:ip:gre:eth:ethertype:ip:udp:doip,3,1,3312,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dof,17,11,17744,11632
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dns,6,1,6112,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dmp,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dlsw,1,0,1104,0
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dlep,5,2,5520,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dis,4,1,4416,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dhcpv6,9,6,7376,4576
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dhcp,10,4,8992,2368
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dcp-etsi:dcp-pft,2,2,2208,2208
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dcp-etsi:dcp-af,4,4,3392,3392
eth:ethertype:ip:gre:eth:ethertype:ip:udp:dcc,2,1,2208,1104
eth:ethertype:ip:gre:eth:ethertype:ip:udp:db-lsp-disc,8,3,8832,3312
eth:ethertype:ip:gre:eth:ethertype:ip:udp:daytime,9,9,8400,8400
eth:ethertype:ip:gre:eth:ethertype:ip:udp:data,214691,107046,212591344,105995744
eth:ethertype:ip:gre:eth:ethertype:ip:udp:cups,6,1,5600,1104
