dst,packet_total,volume_total
200.236.62.31,278933,18000685
200.236.62.30,276916,17912512
200.236.62.29,275465,17815553
200.236.62.28,273923,17708318
200.236.62.27,274592,17825454
200.236.62.26,275902,17833230
200.236.62.255,271233,17533561
200.236.62.254,275308,17778429
200.236.62.253,274772,17775768
200.236.62.25,273599,17688012
200.236.62.252,272972,17706871
200.236.62.251,277922,17937322
200.236.62.250,275194,17829181
200.236.62.249,275242,17786212
200.236.62.248,275991,17851018
200.236.62.247,274575,17739115
200.236.62.246,275001,17773163
200.236.62.245,277150,17911851
200.236.62.244,276335,17888446
200.236.62.243,275248,17810820
200.236.62.24,275683,17835364
200.236.62.242,275695,17845059
200.236.62.241,274961,17822745
200.236.62.240,274903,17815839
200.236.62.239,275508,17835088
200.236.62.238,275663,17786100
200.236.62.237,281011,18141016
200.236.62.236,274272,17757724
200.236.62.235,272896,17638545
200.236.62.234,274675,17753181
200.236.62.233,276143,17833609
200.236.62.23,275080,17775896
200.236.62.232,272754,17621815
200.236.62.231,274347,17723565
200.236.62.230,274491,17761637
200.236.62.229,279622,18058870
200.236.62.228,272996,17674433
200.236.62.2,276251,17845282
200.236.62.227,275984,17836152
200.236.62.226,273700,17685249
200.236.62.225,276463,17862223
200.236.62.224,273299,17712834
200.236.62.223,273942,17731190
200.236.62.22,274397,17778667
200.236.62.222,274919,17771273
200.236.62.221,274647,17760609
200.236.62.220,280802,18134842
200.236.62.219,275085,17806705
200.236.62.218,281895,18189222
200.236.62.217,275414,17801628
200.236.62.216,277007,17893303
200.236.62.215,273246,17680490
200.236.62.214,276226,17862692
200.236.62.213,275061,17795353
200.236.62.21,277617,17922431
200.236.62.212,280960,18171222
200.236.62.211,273789,17694128
200.236.62.210,272035,17612107
200.236.62.209,303687,19507288
200.236.62.208,275787,17823587
200.236.62.207,277083,17909972
200.236.62.206,277702,17941982
200.236.62.205,276203,17861076
200.236.62.204,274413,17747902
200.236.62.203,274802,17756398
200.236.62.20,277327,17964548
200.236.62.202,273693,17694965
200.236.62.201,276780,17910073
200.236.62.200,272519,17749247
200.236.62.199,275801,17827835
200.236.62.198,275149,17784414
200.236.62.197,273989,17690871
200.236.62.196,276878,17942202
200.236.62.195,276896,17932188
200.236.62.194,274941,17806602
200.236.62.193,276328,17874312
200.236.62.19,274414,17728001
200.236.62.192,279265,18074316
200.236.62.191,274168,17772496
200.236.62.190,272955,17638832
200.236.62.189,277520,17947749
200.236.62.188,273837,17685212
200.236.62.187,275988,17846942
